Denominazione,CodiceFiscale,CodiceABI,CodiceBIC,CodiceSellerBank,Attivo,AttivoMod12,AttivoMod3
Banca di Piacenza SCPA,00144060332,05156,BCPCIT2P,,1,1,1
BANCA DI PISA E FORNACETTE CREDITO COOPERATIVO - SOCIETA' COOPERATIVA PER AZIONI,00179660501,08562,BCCFIT33,,1,0,1
BANCA DI RIPATRANSONE E DEL FERMANO - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00096910443,08769,ICRAITRRLD0,,1,0,1
Banca di Sconto e Conti Correnti di Santa Maria Capua Vetere SPA,00136290616,03235,SCCDIT31XXX,,1,0,1
BANCA DI TARANTO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,02389630738,07087,ICRAITRRU70,,1,0,1
BANCA DI UDINE CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00252520309,08715,ICRAITRRJV0,,1,0,1
BANCA DI VERONA CREDITO COOPERATIVO CADIDAVID SOCIETA' COOPERATIVA PER AZIONI,00319990230,08416,ICRAITRRBK0,,1,1,1
BANCA DON RIZZO - CREDITO COOPERATIVO DELLA SICILIA OCCIDENTALE - SOCIETA' COOPERATIVA,00071310817,08946,ICRAITRRQA0,,1,1,1
Banca Euromobiliare SPA,08935810153,03250,EUBAITM1XXX,,1,0,1
Banca Galileo SPA,03639870967,03267,GAEOITM1XXX,,1,0,1
Banca Generali SPA,00833240328,03075,BGENIT2T,,1,0,1
Banca Ifigest SPA,03712110588,03185,IFIGIT31XXX,,1,0,1
Banca IFIS SPA,02505630109,03205,IFISIT2V,,1,0,1
Banca Intermobiliare di Investimenti e Gestioni SPA,02751170016,03043,BIMTITTT,,1,0,1
BANCA LAZIO NORD CREDITO COOPERATIVO - SOCIETA' COOPERATIVA PER AZIONI,00057680563,08931,CCRTIT2TVIT,,1,1,1
BANCA MACERATA S.P.A. (IN FORMA ABBREVIATA BPRM S.P.A.),01541180434,03317,PRACIT31,,1,0,1
BANCA MALATESTIANA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,03310710409,07090,CCRTIT2TMAL,,1,1,1
Banca Mediolanum SPA,02124090164,03062,MEDBITMM,,1,0,1
Banca Monte dei Paschi di Siena SPA,00884060526,01030,PASCITMM,,1,1,1
"BANCA MONTE PRUNO - CREDITO COOPERATIVO DI FISCIANO, ROSCIGNO E LAURINO- SOCIETA' COOPERATIVA",00269570651,08784,CCRTIT2TMPR,,1,1,1
Banca Nazionale del Lavoro S.P.A.,09339391006,01005,BNLIITR1,,1,0,1
Banca Passadore & C SPA,00316380104,03332,PASBITGG,,1,0,1
"BANCA PATAVINA CREDITO COOPERATVO DI SANT'ELENA E PIOVE DI SACCO, SOCIETA' COOPERATIVA",00311340285,08728,ICRAITRRK80,,1,1,1
Banca Patrimoni Sella & C. S.P.A.,08301100015,03211,SENVITT1,,1,1,1
Banca per lo Sviluppo della Cooperazione di Credito SPA,05852011005,03139,SVIUITRR,,1,0,1
"BANCA PICCOLO CREDITO VALTELLINESE, SOCIETA' PER AZIONI",00043260140,05216,BPCVIT2S,,1,0,1
Banca Popolare del Cassinate Societa' Cooperativa per Azioni,00121930606,05372,POCAIT3C,,1,1,1
